	X426	X427	X458	X473	X474	X512	X517	X523	X524	X525	X526	X527	X533	X534	X538	X543	X544	X546	X548	X549	X550	X553	age	somy	region
D2H	1.3	0.847	0.334	0.859	0.584	1.158	0.853	0.929	0.72	1.492	1.188	0.632	0.822	1.459	1.121	1.248	0.602	0.662	0.923	1.008	0.751	0.93	12	D	H
D3H	1.906	1.133	0.378	1.07	1.095	1.558	1.065	1.827	0.979	1.416	1.723	1.903	1.088	1.564	1.265	0.297	0.947	1.085	0.929	0.921	1.436	1.519	12	D	H
D4H	1.708	1.138	0.666	1.038	1.006	1.476	0.795	1.113	0.8	0.884	1.434	1.63	0.907	1.681	1.604	1.375	0.978	1.943	1.355	1.134	1.041	1.848	12	D	H
D5H	1.331	0.762	1.027	0.723	0.929	1.549	0.539	0.631	0.465	1.139	1.607	1.477	0.584	0.903	0.72	0.664	0.798	0.614	0.796	0.681	0.456	0.971	12	D	H
D6H	0.535	0.392	0.57	0.856	0.84	1.289	0.538	1.674	0.738	0.806	1.51	1.371	1.421	0.458	1.629	1.273	0.951	0.746	1.428	1.076	1.046	1.191	12	D	H
D7H	1.22	0.65	0.637	0.369	0.508	1.632	0.631	1.354	0.989	1.029	1.268	1.36	1.077	0.912	0.773	0.681	0.684	1.045	1.368	1.003	0.822	1.237	12	D	H
D8H	1.707	1.421	1.345	1.731	1.218	2.157	1.129	1.738	1.378	1.333	1.663	1.856	1.268	1.368	1.683	1.095	1.057	0.947	1.492	0.987	1.309	1.216	12	D	H
D9H	1.954	1.411	0.894	1.432	1.246	1.824	0.861	1.138	0.958	1.331	1.459	1.558	0.837	1.712	1.142	1.274	0.936	1.111	0.924	0.946	0.661	1.12	12	D	H
D10H	1.18	1.181	1.606	0.659	0.742	0.788	0.695	0.91	0.842	0.714	1.259	1.857	0.962	0.805	0.981	0.649	0.728	0.861	0.989	0.713	0.988	1.594	12	D	H
D11H	0.654	0.711	0.93	0.608	0.702	1.141	0.766	0.513	0.688	0.885	0.864	0.563	0.841	0.393	1.064	0.254	0.528	0.993	0.498	0.479	0.911	0.558	12	D	H
